ID,Matrix Name,Rows,Columns,NNZ,Average NNZ for rows,Dev Std Rows
1420,ASIC_680ks,682712,682712,1693767,2.48,4.16
1453,bone010,986703,986703,47851783,48.5,7.62
1297,boyd2,466316,466316,1500397,3.22,194.91
2380,FullChip,2987012,2987012,26621983,8.91,1806.8
1353,Ga41As41H72,268096,268096,18488476,68.96,105.39
1268,ldoor,952203,952203,42493817,44.63,14.77
1398,rajat31,4690002,4690002,20316253,4.33,1.11
1881,Rucci1,1977885,109900,7791168,3.94,0.34
1362,Si41Ge41H72,185639,185639,15011265,80.86,126.97
2379,webbase-1M,1000005,1000005,3105536,3.11,25.35
,
