Matrix,Kernel,GPUs,Total Time (s),Comm Time (s),Comp Time (s),GFLOPS,BW (GB/s),Speedup,Efficiency
ASIC_100ks,SpMV-baseline,1,7.266268e-04,0.000000e+00,7.266268e-04,1.5934,10.6522,1.0,1.0
ASIC_100ks,SpMV-baseline,2,7.396160e-04,0.000000e+00,7.396160e-04,1.5654,10.4652,0.98,0.49
ASIC_100ks,SpMV-baseline,4,7.426490e-04,0.000000e+00,7.426490e-04,1.559,10.4224,0.98,0.24
ASIC_100ks,cuda-SpMV-COO-multi,1,4.002529e-05,0.000000e+00,3.962112e-05,28.9262,193.3827,1.0,1.0
ASIC_100ks,cuda-SpMV-COO-multi,2,3.134367e-05,1.394400e-03,3.110592e-05,36.9382,246.9462,1.28,0.64
ASIC_100ks,cuda-SpMV-COO-multi,4,2.513082e-05,1.815968e-03,2.479840e-05,46.0701,307.9963,1.59,0.4
ASIC_100ks,cuda-SpMV-CSR-Vector-multi,1,5.105818e-05,0.000000e+00,5.071008e-05,22.6757,114.0151,1.0,1.0
ASIC_100ks,cuda-SpMV-CSR-Vector-multi,2,4.190517e-05,1.161888e-03,4.172512e-05,27.6286,138.9185,1.22,0.61
ASIC_100ks,cuda-SpMV-CSR-Vector-multi,4,2.991740e-05,1.632992e-03,2.956864e-05,38.6992,194.5826,1.71,0.43
ASIC_100ks,cuda-SpMV-CSR-multi,1,4.085301e-05,0.000000e+00,4.043360e-05,28.3401,142.4963,1.0,1.0
ASIC_100ks,cuda-SpMV-CSR-multi,2,3.570540e-05,1.157024e-03,3.551936e-05,32.4259,163.0399,1.14,0.57
ASIC_100ks,cuda-SpMV-CSR-multi,4,3.332654e-05,1.557952e-03,3.298944e-05,34.7405,174.6777,1.23,0.31
ASIC_100ks,cuda-SpMV-cuSparse-multi,1,6.625435e-05,0.000000e+00,6.614464e-05,17.4748,87.8645,1.0,1.0
ASIC_100ks,cuda-SpMV-cuSparse-multi,2,8.284271e-05,1.136608e-03,8.272672e-05,13.9756,70.2706,0.8,0.4
ASIC_100ks,cuda-SpMV-cuSparse-multi,4,8.299972e-05,1.411424e-03,8.288256e-05,13.9492,70.1376,0.8,0.2
ASIC_320ks,SpMV-baseline,1,2.476557e-03,0.000000e+00,2.476557e-03,1.4761,9.8956,1.0,1.0
ASIC_320ks,SpMV-baseline,2,2.508130e-03,0.000000e+00,2.508130e-03,1.4575,9.771,0.99,0.49
ASIC_320ks,SpMV-baseline,4,2.514681e-03,0.000000e+00,2.514681e-03,1.4537,9.7456,0.98,0.25
ASIC_320ks,cuda-SpMV-COO-multi,1,9.870975e-05,0.000000e+00,9.821824e-05,37.034,248.2739,1.0,1.0
ASIC_320ks,cuda-SpMV-COO-multi,2,6.508581e-05,2.068320e-03,6.476224e-05,56.1661,376.5345,1.52,0.76
ASIC_320ks,cuda-SpMV-COO-multi,4,4.236305e-05,2.668768e-03,4.193056e-05,86.2925,578.5006,2.33,0.58
ASIC_320ks,cuda-SpMV-CSR-Vector-multi,1,2.016815e-04,0.000000e+00,2.012042e-04,18.1257,91.6421,1.0,1.0
ASIC_320ks,cuda-SpMV-CSR-Vector-multi,2,9.808105e-05,1.465632e-03,9.769088e-05,37.2714,188.4412,2.06,1.03
ASIC_320ks,cuda-SpMV-CSR-Vector-multi,4,5.826949e-05,1.919200e-03,5.784928e-05,62.7363,317.1902,3.46,0.87
ASIC_320ks,cuda-SpMV-CSR-multi,1,1.086657e-04,0.000000e+00,1.081395e-04,33.6409,170.086,1.0,1.0
ASIC_320ks,cuda-SpMV-CSR-multi,2,6.332829e-05,1.475456e-03,6.301248e-05,57.7248,291.8524,1.72,0.86
ASIC_320ks,cuda-SpMV-CSR-multi,4,5.493277e-05,2.036832e-03,5.451680e-05,66.5471,336.4569,1.98,0.49
ASIC_320ks,cuda-SpMV-cuSparse-multi,1,8.158896e-05,0.000000e+00,8.147520e-05,44.8053,226.532,1.0,1.0
