Matrix Family,Kernel,GPUs,Total Time (s),Comm Time (s),Comp Time (s),GFLOPS,BW (GB/s),Weak Speedup,Weak Efficiency
synth_asic,SpMV-baseline,1,1.334644e-03,0.000000e+00,1.334644e-03,0.8991,6.5934,1.0,1.0
synth_asic,SpMV-baseline,2,3.072435e-03,0.000000e+00,3.072435e-03,0.7812,5.7288,0.43,0.43
synth_asic,SpMV-baseline,4,7.470994e-03,0.000000e+00,7.470994e-03,0.6427,4.7126,0.18,0.18
synth_asic,cuda-SpMV-COO-multi,1,4.562510e-05,0.000000e+00,4.521600e-05,26.3008,192.8731,1.0,1.0
synth_asic,cuda-SpMV-COO-multi,2,5.582940e-05,2.231264e-03,5.561600e-05,42.9919,315.2691,0.82,0.82
synth_asic,cuda-SpMV-COO-multi,4,5.651707e-05,5.331200e-03,5.630656e-05,84.954,622.964,0.81,0.81
synth_asic,cuda-SpMV-CSR-Vector-multi,1,9.027505e-05,0.000000e+00,8.996320e-05,13.2924,79.7552,1.0,1.0
synth_asic,cuda-SpMV-CSR-Vector-multi,2,1.189398e-04,1.499392e-03,1.187133e-04,20.1801,121.0768,0.76,0.76
synth_asic,cuda-SpMV-CSR-Vector-multi,4,1.188426e-04,2.579648e-03,1.186266e-04,40.4009,242.3828,0.76,0.76
synth_asic,cuda-SpMV-CSR-multi,1,4.587097e-05,0.000000e+00,4.548960e-05,26.1598,156.96,1.0,1.0
synth_asic,cuda-SpMV-CSR-multi,2,4.763410e-05,1.487168e-03,4.741184e-05,50.3886,302.3225,0.96,0.96
synth_asic,cuda-SpMV-CSR-multi,4,4.779843e-05,3.847840e-03,4.757728e-05,100.4499,602.6433,0.96,0.96
synth_asic,cuda-SpMV-cuSparse-multi,1,7.730633e-05,0.000000e+00,7.720224e-05,15.5224,93.1348,1.0,1.0
synth_asic,cuda-SpMV-cuSparse-multi,2,1.113240e-04,1.473344e-03,1.111837e-04,21.5606,129.3599,0.69,0.69
synth_asic,cuda-SpMV-cuSparse-multi,4,1.113048e-04,3.647392e-03,1.111920e-04,43.1369,258.7974,0.69,0.69
synth_boyd2,SpMV-baseline,1,7.679465e-04,0.000000e+00,7.679465e-04,1.6772,12.1467,1.0,1.0
synth_boyd2,SpMV-baseline,2,2.410705e-03,0.000000e+00,2.410705e-03,1.0686,7.7388,0.32,0.32
synth_boyd2,SpMV-baseline,4,6.453281e-03,0.000000e+00,6.453281e-03,0.7984,5.7819,0.12,0.12
synth_boyd2,cuda-SpMV-COO-multi,1,6.269676e-05,0.000000e+00,6.232320e-05,20.5433,148.7796,1.0,1.0
synth_boyd2,cuda-SpMV-COO-multi,2,7.838435e-05,2.258720e-03,7.808896e-05,32.8637,238.0067,0.8,0.8
synth_boyd2,cuda-SpMV-COO-multi,4,7.913735e-05,5.168032e-03,7.883232e-05,65.102,471.4841,0.79,0.79
synth_boyd2,cuda-SpMV-CSR-Vector-multi,1,1.031563e-04,0.000000e+00,1.028880e-04,12.4859,73.2093,1.0,1.0
synth_boyd2,cuda-SpMV-CSR-Vector-multi,2,1.277202e-04,1.503968e-03,1.274154e-04,20.1691,118.2585,0.81,0.81
synth_boyd2,cuda-SpMV-CSR-Vector-multi,4,1.292564e-04,4.212768e-03,1.289491e-04,39.8588,233.706,0.8,0.8
synth_boyd2,cuda-SpMV-CSR-multi,1,4.908857e-05,0.000000e+00,4.882528e-05,26.2383,153.8445,1.0,1.0
synth_boyd2,cuda-SpMV-CSR-multi,2,6.091737e-05,1.512640e-03,6.062208e-05,42.2868,247.9425,0.81,0.81
synth_boyd2,cuda-SpMV-CSR-multi,4,6.108393e-05,2.714816e-03,6.077536e-05,84.343,494.5328,0.8,0.8
synth_boyd2,cuda-SpMV-cuSparse-multi,1,9.264079e-05,0.000000e+00,9.252768e-05,13.9032,81.5192,1.0,1.0
synth_boyd2,cuda-SpMV-cuSparse-multi,2,1.142053e-04,1.484384e-03,1.140813e-04,22.5559,132.2531,0.81,0.81
synth_boyd2,cuda-SpMV-cuSparse-multi,4,1.063246e-04,7.203904e-03,1.062006e-04,48.4554,284.1112,0.87,0.87
