Matrix,Config,Avg Time (s),StdDev Time,Avg GFLOPS,Avg BW (GB/s),Avg TTS (s),D1 Miss %,LL Miss %,Runs Found
ASIC,cpu-SpMV-CSR,2.495010e-03,1.443977e-05,1.8671,10.7522,1.9437,N/A,N/A,5
ASIC,cpu-SpMV-CSR-lite,0.000000e+00,0.000000e+00,0,0,0,0.1,0.0,5
ASIC,cuda-SpMV-COO,1.319526e-03,2.606520e-03,24.3868,174.9133,0.8241,N/A,N/A,5
ASIC,cuda-SpMV-CSR,4.668096e-04,6.533840e-04,21.914,126.1956,0.8878,N/A,N/A,5
ASIC,cuda-SpMV-CSR-Vector,8.057344e-04,6.526045e-04,7.7307,44.5184,0.8241,N/A,N/A,5
ASIC,cuda-SpMV-cuSPARSE,3.062848e-03,1.650027e-04,1.5245,8.7793,0.8231,N/A,N/A,5
FullChip.mtx,cpu-SpMV-CSR,2.822102e-02,3.315824e-05,1.8867,8.8168,21.3231,N/A,N/A,5
FullChip.mtx,cuda-SpMV-COO,1.020109e-02,1.303316e-05,5.2195,33.6592,6.786,N/A,N/A,5
FullChip.mtx,cuda-SpMV-CSR,2.691432e-01,2.197682e-02,0.1989,0.9293,7.3883,N/A,N/A,5
FullChip.mtx,cuda-SpMV-CSR-Vector,1.434752e-02,6.318615e-04,3.7171,17.3706,6.8702,N/A,N/A,5
FullChip.mtx,cuda-SpMV-cuSPARSE,3.400109e-03,1.501666e-04,15.6837,73.2929,6.8725,N/A,N/A,5
Ga41As41H72.mtx,cpu-SpMV-CSR,1.769458e-02,2.149421e-05,2.0897,8.5408,12.0662,N/A,N/A,5
Ga41As41H72.mtx,cpu-SpMV-CSR-lite,0.000000e+00,0.000000e+00,0,0,0,0.3,0.0,5
Ga41As41H72.mtx,cuda-SpMV-COO,2.002330e-03,1.994246e-04,18.6111,112.7463,3.0155,N/A,N/A,5
Ga41As41H72.mtx,cuda-SpMV-CSR,6.433088e-04,1.721861e-05,57.5119,235.0515,3.1163,N/A,N/A,5
Ga41As41H72.mtx,cuda-SpMV-CSR-Vector,4.483968e-04,2.327593e-05,82.6464,337.7763,3.1128,N/A,N/A,5
Ga41As41H72.mtx,cuda-SpMV-cuSPARSE,3.044122e-03,2.715957e-04,12.2236,49.9579,3.1018,N/A,N/A,5
Rucci1.mtx,cpu-SpMV-CSR,6.085475e-03,3.175533e-05,2.5606,12.915,5.345,N/A,N/A,5
Rucci1.mtx,cpu-SpMV-CSR-lite,0.000000e+00,0.000000e+00,0,0,0,0.2,0.0,5
Rucci1.mtx,cuda-SpMV-COO,3.383296e-04,2.621320e-05,46.2859,302.5217,2.3682,N/A,N/A,5
Rucci1.mtx,cuda-SpMV-CSR,2.350528e-04,6.277206e-06,66.3307,334.5493,2.4296,N/A,N/A,5
Rucci1.mtx,cuda-SpMV-CSR-Vector,1.597190e-03,1.119199e-04,9.7962,49.4086,2.4276,N/A,N/A,5
Rucci1.mtx,cuda-SpMV-cuSPARSE,3.170458e-03,1.543362e-04,4.9244,24.8368,2.4274,N/A,N/A,5
Si41Ge41H72.mtx,cpu-SpMV-CSR,1.471531e-02,2.904100e-05,2.0402,8.3123,9.9983,N/A,N/A,5
Si41Ge41H72.mtx,cpu-SpMV-CSR-lite,0.000000e+00,0.000000e+00,0,0,0,0.3,0.0,5
Si41Ge41H72.mtx,cuda-SpMV-COO,2.108826e-03,1.512958e-05,14.2372,86.1274,2.5136,N/A,N/A,5
Si41Ge41H72.mtx,cuda-SpMV-CSR,5.854208e-04,7.127119e-06,51.2897,208.9644,2.5925,N/A,N/A,5
Si41Ge41H72.mtx,cuda-SpMV-CSR-Vector,3.687808e-04,1.687275e-05,81.5446,332.2289,2.5857,N/A,N/A,5
Si41Ge41H72.mtx,cuda-SpMV-cuSPARSE,3.161459e-03,1.659049e-04,9.5166,38.7723,2.5851,N/A,N/A,5
bone010.mtx,cpu-SpMV-CSR,6.183572e-02,6.446783e-05,2.318,9.4633,40.3762,N/A,N/A,5
bone010.mtx,cuda-SpMV-COO,6.165504e-03,1.506707e-05,23.2476,140.7661,8.4105,N/A,N/A,5
bone010.mtx,cuda-SpMV-CSR,1.575763e-03,3.988447e-05,91.0075,371.5479,8.5487,N/A,N/A,5
bone010.mtx,cuda-SpMV-CSR-Vector,1.500070e-03,7.133996e-05,95.7328,390.8396,8.5926,N/A,N/A,5
bone010.mtx,cuda-SpMV-cuSPARSE,3.865734e-03,1.412683e-04,37.1174,151.5357,8.5729,N/A,N/A,5
boyd2.mtx,cpu-SpMV-CSR,1.257894e-03,1.324132e-06,2.3856,13.9908,0.8283,N/A,N/A,5
boyd2.mtx,cpu-SpMV-CSR-lite,0.000000e+00,0.000000e+00,0,0,0,0.3,0.1,5
boyd2.mtx,cuda-SpMV-COO,6.682624e-04,2.291565e-05,4.4948,32.5569,0.3549,N/A,N/A,5
boyd2.mtx,cuda-SpMV-CSR,9.232723e-03,5.979513e-04,0.3261,1.9128,0.4275,N/A,N/A,5
boyd2.mtx,cuda-SpMV-CSR-Vector,5.852672e-04,4.568525e-05,5.1516,30.2131,0.3463,N/A,N/A,5
boyd2.mtx,cuda-SpMV-cuSPARSE,3.049408e-03,1.480979e-04,0.9859,5.7824,0.3416,N/A,N/A,5
ldoor.mtx,cpu-SpMV-CSR,3.887039e-02,5.850378e-05,2.3937,9.8689,26.619,N/A,N/A,5
ldoor.mtx,cuda-SpMV-COO,3.697664e-03,2.739205e-04,25.2775,153.7342,6.5562,N/A,N/A,5
ldoor.mtx,cuda-SpMV-CSR,1.132973e-03,3.380569e-05,82.1855,338.8346,6.6824,N/A,N/A,5
ldoor.mtx,cuda-SpMV-CSR-Vector,1.194413e-03,3.507800e-05,77.9561,321.3981,6.6755,N/A,N/A,5
ldoor.mtx,cuda-SpMV-cuSPARSE,3.673850e-03,2.008423e-04,25.3887,104.6727,6.6863,N/A,N/A,5
rajat31.mtx,cpu-SpMV-CSR,1.649489e-02,5.522123e-05,2.4634,13.2654,14.0322,N/A,N/A,5
rajat31.mtx,cuda-SpMV-COO,9.963520e-04,9.034733e-05,41.0616,284.2857,5.6101,N/A,N/A,5
rajat31.mtx,cuda-SpMV-CSR,4.554048e-04,9.464905e-06,89.2537,480.6401,5.6953,N/A,N/A,5
rajat31.mtx,cuda-SpMV-CSR-Vector,3.775373e-03,2.959069e-04,10.8174,58.2527,5.6822,N/A,N/A,5
rajat31.mtx,cuda-SpMV-cuSPARSE,3.402886e-03,1.834339e-04,11.969,64.4543,5.7417,N/A,N/A,5
webbase-1M.mtx,cpu-SpMV-CSR,3.827560e-03,9.949431e-06,1.6227,9.6261,2.6977,N/A,N/A,5
webbase-1M.mtx,cpu-SpMV-CSR-lite,0.000000e+00,0.000000e+00,0,0,0,0.2,0.0,5
webbase-1M.mtx,cuda-SpMV-COO,1.853440e-04,5.016555e-06,33.5308,244.3736,0.8695,N/A,N/A,5
webbase-1M.mtx,cuda-SpMV-CSR,7.294720e-04,3.346798e-05,8.5294,50.5968,0.9537,N/A,N/A,5
webbase-1M.mtx,cuda-SpMV-CSR-Vector,7.286464e-04,6.064126e-05,8.5672,50.821,0.879,N/A,N/A,5
webbase-1M.mtx,cuda-SpMV-cuSPARSE,3.092237e-03,1.527381e-04,2.0126,11.9388,0.8831,N/A,N/A,5
