Matrix,Kernel,GPUs,Total Time (s),Comm Time (s),Comp Time (s),GFLOPS,BW (GB/s),Speedup,Efficiency
ASIC_100ks,cuda-SpMV-COO-multi,1,4.537705e-05,0.000000e+00,4.492608e-05,25.5147,170.5752,1.0,1.0
ASIC_100ks,cuda-SpMV-COO-multi,2,3.115372e-05,1.432128e-03,3.098784e-05,37.1635,248.4519,1.46,0.73
ASIC_100ks,cuda-SpMV-COO-multi,4,2.511690e-05,4.125440e-03,2.477440e-05,46.0957,308.167,1.81,0.45
ASIC_100ks,cuda-SpMV-CSR-Vector-multi,1,5.538556e-05,0.000000e+00,5.497984e-05,20.904,105.1069,1.0,1.0
ASIC_100ks,cuda-SpMV-CSR-Vector-multi,2,4.182216e-05,1.283584e-03,4.166624e-05,27.6834,139.1942,1.32,0.66
ASIC_100ks,cuda-SpMV-CSR-Vector-multi,4,2.965988e-05,3.341920e-03,2.932544e-05,39.0352,196.272,1.87,0.47
ASIC_100ks,cuda-SpMV-CSR-multi,1,4.094291e-05,0.000000e+00,4.052608e-05,28.2779,142.1834,1.0,1.0
ASIC_100ks,cuda-SpMV-CSR-multi,2,3.528878e-05,1.288000e-03,3.508160e-05,32.8087,164.9647,1.16,0.58
ASIC_100ks,cuda-SpMV-CSR-multi,4,3.298857e-05,3.273088e-03,3.265120e-05,35.0964,176.4673,1.24,0.31
ASIC_100ks,cuda-SpMV-cuSparse-multi,1,6.376101e-05,0.000000e+00,6.362560e-05,18.1581,91.3004,1.0,1.0
ASIC_100ks,cuda-SpMV-cuSparse-multi,2,8.115544e-05,1.276704e-03,8.104064e-05,14.2662,71.7315,0.79,0.39
ASIC_100ks,cuda-SpMV-cuSparse-multi,4,8.393946e-05,1.575008e-03,8.380224e-05,13.793,69.3524,0.76,0.19
ASIC_100ks,prof-SpMV-baseline,1,7.515439e-04,0.000000e+00,7.515439e-04,1.5405,10.2991,1.0,1.0
ASIC_100ks,prof-SpMV-baseline,2,7.510277e-04,0.000000e+00,7.510277e-04,1.5416,10.3061,1.0,0.5
ASIC_100ks,prof-SpMV-baseline,4,7.488320e-04,0.000000e+00,7.488320e-04,1.5461,10.3364,1.0,0.25
ASIC_320ks,cuda-SpMV-COO-multi,1,9.900749e-05,0.000000e+00,9.851072e-05,36.9226,247.5273,1.0,1.0
ASIC_320ks,cuda-SpMV-COO-multi,2,6.410009e-05,2.122752e-03,6.379104e-05,57.0298,382.3248,1.54,0.77
ASIC_320ks,cuda-SpMV-COO-multi,4,4.221458e-05,2.671264e-03,4.179648e-05,86.596,580.5353,2.35,0.59
ASIC_320ks,cuda-SpMV-CSR-Vector-multi,1,2.521675e-04,0.000000e+00,2.516429e-04,14.4968,73.2946,1.0,1.0
ASIC_320ks,cuda-SpMV-CSR-Vector-multi,2,9.784656e-05,1.495424e-03,9.753984e-05,37.3607,188.8928,2.58,1.29
ASIC_320ks,cuda-SpMV-CSR-Vector-multi,4,5.854211e-05,1.943456e-03,5.813152e-05,62.4442,315.7131,4.31,1.08
ASIC_320ks,cuda-SpMV-CSR-multi,1,9.888656e-05,0.000000e+00,9.840000e-05,36.9678,186.9062,1.0,1.0
ASIC_320ks,cuda-SpMV-CSR-multi,2,6.232124e-05,1.516864e-03,6.202912e-05,58.6576,296.5684,1.59,0.79
ASIC_320ks,cuda-SpMV-CSR-multi,4,5.528508e-05,3.093152e-03,5.487168e-05,66.123,334.3128,1.79,0.45
ASIC_320ks,cuda-SpMV-cuSparse-multi,1,8.722714e-05,0.000000e+00,8.707840e-05,41.9091,211.8895,1.0,1.0
ASIC_320ks,cuda-SpMV-cuSparse-multi,2,9.962494e-05,1.525600e-03,9.947872e-05,36.6938,185.5209,0.88,0.44
ASIC_320ks,cuda-SpMV-cuSparse-multi,4,8.686675e-05,1.854560e-03,8.672576e-05,42.083,212.7685,1.0,0.25
ASIC_320ks,prof-SpMV-baseline,1,2.586247e-03,0.000000e+00,2.586247e-03,1.4135,9.4759,1.0,1.0
ASIC_320ks,prof-SpMV-baseline,2,2.618487e-03,0.000000e+00,2.618487e-03,1.3961,9.3592,0.99,0.49
ASIC_320ks,prof-SpMV-baseline,4,2.462233e-03,0.000000e+00,2.462233e-03,1.4847,9.9532,1.05,0.26
ASIC_680ks,cuda-SpMV-COO-multi,1,1.060896e-04,0.000000e+00,1.056477e-04,43.9096,314.9396,1.0,1.0
ASIC_680ks,cuda-SpMV-COO-multi,2,7.055593e-05,2.332160e-03,7.026560e-05,66.0235,473.5507,1.5,0.75
ASIC_680ks,cuda-SpMV-COO-multi,4,4.498518e-05,3.074624e-03,4.479008e-05,103.553,742.7293,2.36,0.59
ASIC_680ks,cuda-SpMV-CSR-Vector-multi,1,4.963737e-04,0.000000e+00,4.959018e-04,9.3848,54.0439,1.0,1.0
ASIC_680ks,cuda-SpMV-CSR-Vector-multi,2,2.462883e-04,1.510784e-03,2.459997e-04,18.9142,108.921,2.02,1.01
ASIC_680ks,cuda-SpMV-CSR-Vector-multi,4,1.026850e-04,2.057184e-03,1.025104e-04,45.3655,261.2451,4.83,1.21
ASIC_680ks,cuda-SpMV-CSR-multi,1,1.040158e-04,0.000000e+00,1.035302e-04,44.785,257.9027,1.0,1.0
ASIC_680ks,cuda-SpMV-CSR-multi,2,5.946939e-05,1.553728e-03,5.919616e-05,78.3319,451.0885,1.75,0.87
ASIC_680ks,cuda-SpMV-CSR-multi,4,4.524213e-05,3.134976e-03,4.504512e-05,102.9649,592.9419,2.3,0.57
ASIC_680ks,cuda-SpMV-cuSparse-multi,1,1.019981e-04,0.000000e+00,1.018650e-04,45.671,263.0046,1.0,1.0
ASIC_680ks,cuda-SpMV-cuSparse-multi,2,1.003011e-04,1.540832e-03,1.001818e-04,46.4437,267.4544,1.02,0.51
ASIC_680ks,cuda-SpMV-cuSparse-multi,4,1.105243e-04,3.327008e-03,1.103798e-04,42.1478,242.7154,0.92,0.23
ASIC_680ks,prof-SpMV-baseline,1,2.758528e-03,0.000000e+00,2.758528e-03,1.6887,12.1122,1.0,1.0
ASIC_680ks,prof-SpMV-baseline,2,2.805448e-03,0.000000e+00,2.805448e-03,1.6605,11.9096,0.98,0.49
ASIC_680ks,prof-SpMV-baseline,4,2.812099e-03,0.000000e+00,2.812099e-03,1.6565,11.8814,0.98,0.25
Rucci1,cuda-SpMV-COO-multi,1,3.079560e-04,0.000000e+00,3.075680e-04,50.5992,330.7133,1.0,1.0
Rucci1,cuda-SpMV-COO-multi,2,1.966570e-04,1.489760e-03,1.962032e-04,79.2361,517.8823,1.57,0.78
Rucci1,cuda-SpMV-COO-multi,4,1.393598e-04,1.990304e-03,1.390810e-04,111.8137,730.8075,2.21,0.55
Rucci1,cuda-SpMV-CSR-Vector-multi,1,1.346833e-03,0.000000e+00,1.346432e-03,11.5696,58.3532,1.0,1.0
Rucci1,cuda-SpMV-CSR-Vector-multi,2,7.187693e-04,1.275904e-03,7.183315e-04,21.6792,109.3425,1.87,0.94
Rucci1,cuda-SpMV-CSR-Vector-multi,4,3.720663e-04,1.708192e-03,3.717699e-04,41.8805,211.2312,3.62,0.9
Rucci1,cuda-SpMV-CSR-multi,1,1.438878e-04,0.000000e+00,1.434973e-04,108.295,546.2034,1.0,1.0
Rucci1,cuda-SpMV-CSR-multi,2,8.390770e-05,1.181504e-03,8.346528e-05,185.7081,936.6486,1.71,0.86
Rucci1,cuda-SpMV-CSR-multi,4,5.232927e-05,1.635936e-03,5.206240e-05,297.7748,1501.8751,2.75,0.69
Rucci1,cuda-SpMV-cuSparse-multi,1,2.150378e-04,0.000000e+00,2.149078e-04,72.4632,365.4801,1.0,1.0
Rucci1,cuda-SpMV-cuSparse-multi,2,1.541257e-04,1.182368e-03,1.539750e-04,101.1015,509.9217,1.4,0.7
Rucci1,cuda-SpMV-cuSparse-multi,4,1.217714e-04,1.526240e-03,1.216557e-04,127.9639,645.4064,1.77,0.44
Rucci1,prof-SpMV-baseline,1,6.997601e-03,0.000000e+00,6.997601e-03,2.2268,15.6221,1.0,1.0
Rucci1,prof-SpMV-baseline,2,6.978866e-03,0.000000e+00,6.978866e-03,2.2328,15.664,1.0,0.5
Rucci1,prof-SpMV-baseline,4,6.558280e-03,0.000000e+00,6.558280e-03,2.376,16.6686,1.07,0.27
bcsstk16,cuda-SpMV-COO-multi,1,3.696587e-05,0.000000e+00,3.648192e-05,15.7106,95.3206,1.0,1.0
bcsstk16,cuda-SpMV-COO-multi,2,3.390340e-05,9.523200e-04,3.356480e-05,17.1297,103.9308,1.09,0.55
bcsstk16,cuda-SpMV-COO-multi,4,2.836852e-05,1.094656e-03,2.814848e-05,20.4718,124.2084,1.3,0.33
bcsstk16,cuda-SpMV-CSR-Vector-multi,1,1.712212e-05,0.000000e+00,1.668448e-05,33.9185,139.097,1.0,1.0
