Matrix Family,Kernel,GPUs,Total Time (s),Comm Time (s),Comp Time (s),GFLOPS,BW (GB/s),Weak Speedup,Weak Efficiency
synth_asic,cuda-SpMV-COO-multi,1,4.239227e-05,0.000000e+00,4.209600e-05,28.3314,207.7311,1.0,1.0
synth_asic,cuda-SpMV-COO-multi,2,5.613520e-05,2.234080e-03,5.590304e-05,42.7747,313.6532,0.76,0.76
synth_asic,cuda-SpMV-COO-multi,4,5.589583e-05,5.363136e-03,5.567104e-05,85.8579,629.6463,0.76,0.76
synth_asic,cuda-SpMV-CSR-Vector-multi,1,8.944812e-05,0.000000e+00,8.912064e-05,13.4271,80.5398,1.0,1.0
synth_asic,cuda-SpMV-CSR-Vector-multi,2,1.188443e-04,1.507776e-03,1.186211e-04,20.2043,121.2062,0.75,0.75
synth_asic,cuda-SpMV-CSR-Vector-multi,4,1.186900e-04,2.527392e-03,1.184797e-04,40.4339,242.6186,0.75,0.75
synth_asic,cuda-SpMV-CSR-multi,1,4.582297e-05,0.000000e+00,4.542752e-05,26.2103,157.2166,1.0,1.0
synth_asic,cuda-SpMV-CSR-multi,2,4.785639e-05,1.512224e-03,4.764384e-05,50.1744,300.9976,0.96,0.96
synth_asic,cuda-SpMV-CSR-multi,4,4.806922e-05,4.095648e-03,4.784352e-05,99.8373,599.0612,0.95,0.95
synth_asic,cuda-SpMV-cuSparse-multi,1,8.275623e-05,0.000000e+00,8.264928e-05,14.5129,87.0524,1.0,1.0
synth_asic,cuda-SpMV-cuSparse-multi,2,1.131015e-04,1.488128e-03,1.129722e-04,21.2302,127.3605,0.73,0.73
synth_asic,cuda-SpMV-cuSparse-multi,4,1.188858e-04,3.724320e-03,1.187584e-04,40.3673,242.219,0.7,0.7
synth_asic,prof-SpMV-baseline,1,1.344331e-03,0.000000e+00,1.344331e-03,0.8934,6.5506,1.0,1.0
synth_asic,prof-SpMV-baseline,2,3.049670e-03,0.000000e+00,3.049670e-03,0.7874,5.7734,0.44,0.44
synth_asic,prof-SpMV-baseline,4,7.132713e-03,0.000000e+00,7.132713e-03,0.6728,4.9343,0.19,0.19
synth_boyd2,cuda-SpMV-COO-multi,1,5.963250e-05,0.000000e+00,5.930784e-05,21.599,156.4248,1.0,1.0
synth_boyd2,cuda-SpMV-COO-multi,2,7.797045e-05,2.212672e-03,7.765856e-05,33.0382,239.2701,0.76,0.76
synth_boyd2,cuda-SpMV-COO-multi,4,7.707710e-05,4.964928e-03,7.678848e-05,66.8422,484.0867,0.77,0.77
synth_boyd2,cuda-SpMV-CSR-Vector-multi,1,9.805475e-05,0.000000e+00,9.777920e-05,13.1355,77.0182,1.0,1.0
synth_boyd2,cuda-SpMV-CSR-Vector-multi,2,1.277765e-04,1.499232e-03,1.274957e-04,20.1602,118.2064,0.77,0.77
synth_boyd2,cuda-SpMV-CSR-Vector-multi,4,1.282732e-04,2.589440e-03,1.279987e-04,40.1643,235.4973,0.76,0.76
synth_boyd2,cuda-SpMV-CSR-multi,1,5.940984e-05,0.000000e+00,5.907808e-05,21.6799,127.1171,1.0,1.0
synth_boyd2,cuda-SpMV-CSR-multi,2,6.139190e-05,1.500064e-03,6.107968e-05,41.9599,246.026,0.97,0.97
synth_boyd2,cuda-SpMV-CSR-multi,4,6.183126e-05,3.924032e-03,6.153984e-05,83.3235,488.5555,0.96,0.96
synth_boyd2,cuda-SpMV-cuSparse-multi,1,8.063625e-05,0.000000e+00,8.053184e-05,15.973,93.6552,1.0,1.0
synth_boyd2,cuda-SpMV-cuSparse-multi,2,1.148504e-04,1.479968e-03,1.147184e-04,22.4292,131.5102,0.7,0.7
synth_boyd2,cuda-SpMV-cuSparse-multi,4,1.094230e-04,4.418752e-03,1.092688e-04,47.0833,276.0663,0.74,0.74
synth_boyd2,prof-SpMV-baseline,1,7.703951e-04,0.000000e+00,7.703951e-04,1.6719,12.1081,1.0,1.0
synth_boyd2,prof-SpMV-baseline,2,2.412004e-03,0.000000e+00,2.412004e-03,1.068,7.7347,0.32,0.32
synth_boyd2,prof-SpMV-baseline,4,6.419128e-03,0.000000e+00,6.419128e-03,0.8026,5.8126,0.12,0.12
